DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx
12/31/1965,0.013545,0.011976,0.042981,0.040331,0.008951,92.43
01/31/1966,0.012122,0.011231,0.064170,0.063045,0.004869,92.88
02/28/1966,-0.008621,-0.013014,0.028865,0.026482,-0.017873,91.22
03/31/1966,-0.020923,-0.022747,-0.008889,-0.011332,-0.021815,89.23
04/29/1966,0.024837,0.023853,0.046619,0.045527,0.020509,91.06
05/31/1966,-0.052538,-0.057483,-0.086024,-0.088775,-0.054140,86.13
06/30/1966,-0.010317,-0.012063,-0.004988,-0.007341,-0.016138,84.74
07/29/1966,-0.012870,-0.013831,-0.016316,-0.017468,-0.013453,83.60
08/31/1966,-0.075388,-0.080712,-0.100714,-0.103821,-0.077751,77.10
09/30/1966,-0.006958,-0.008696,-0.018161,-0.020555,-0.007004,76.56
10/31/1966,0.042294,0.041171,-0.014385,-0.015886,0.047544,80.20
11/30/1966,0.017516,0.010606,0.040725,0.036535,0.003117,80.45
12/30/1966,0.006210,0.004410,0.017306,0.014408,-0.001492,80.33
01/31/1967,0.085530,0.084077,0.172104,0.170549,0.078178,86.61
02/28/1967,0.010945,0.006257,0.042368,0.039194,0.001963,86.78
03/31/1967,0.043384,0.041582,0.058244,0.055882,0.039410,90.20
04/28/1967,0.041609,0.040696,0.041928,0.040671,0.042239,94.01
05/31/1967,-0.039293,-0.044217,-0.008098,-0.011058,-0.052441,89.08
06/30/1967,0.026902,0.025341,0.081958,0.079861,0.017512,90.64
07/31/1967,0.049190,0.048278,0.083251,0.082097,0.045344,94.75
08/31/1967,-0.006282,-0.011073,0.006312,0.003610,-0.011715,93.64
09/29/1967,0.034286,0.032875,0.062963,0.061164,0.032785,96.71
10/31/1967,-0.027433,-0.028649,-0.020594,-0.021921,-0.029056,93.90
11/30/1967,0.007902,0.002565,0.000878,-0.002087,0.001065,94.00
12/29/1967,0.033699,0.032203,0.080465,0.078316,0.026277,96.47
01/31/1968,-0.036331,-0.037831,0.023902,0.022615,-0.043848,92.24
02/29/1968,-0.033624,-0.038107,-0.056118,-0.058666,-0.031223,89.36
03/29/1968,0.005117,0.003740,-0.011218,-0.013014,0.009400,90.20
04/30/1968,0.094148,0.092730,0.143031,0.141649,0.081929,97.59
05/31/1968,0.027040,0.022493,0.091309,0.088825,0.011169,98.68
06/28/1968,0.011527,0.010038,0.016225,0.014530,0.009120,99.58
07/30/1968,-0.022024,-0.023161,-0.026210,-0.027207,-0.018478,97.74
08/30/1968,0.018037,0.013494,0.035918,0.033497,0.011459,98.86
09/30/1968,0.044454,0.043207,0.068808,0.067318,0.038539,102.67
10/31/1968,0.009041,0.007468,0.006913,0.005789,0.007208,103.41
11/29/1968,0.058501,0.054124,0.071994,0.069658,0.047964,108.37
12/31/1968,-0.033873,-0.035362,0.005896,0.004170,-0.041617,103.86
01/31/1969,-0.006711,-0.007725,-0.001688,-0.002620,-0.008184,103.01
02/28/1969,-0.053641,-0.057883,-0.085728,-0.087759,-0.047374,98.13
03/28/1969,0.030505,0.029062,0.020290,0.018682,0.034444,101.51
04/30/1969,0.020527,0.019346,0.003459,0.002320,0.021476,103.69
05/29/1969,0.005040,0.000241,0.006262,0.004081,-0.002218,103.46
06/30/1969,-0.067388,-0.068958,-0.113404,-0.115112,-0.055577,97.71
07/31/1969,-0.065171,-0.066371,-0.095823,-0.097003,-0.060178,91.83
08/29/1969,0.051491,0.046518,0.052175,0.049462,0.040074,95.51
09/30/1969,-0.022590,-0.024167,-0.024618,-0.026428,-0.025024,93.12
10/31/1969,0.055637,0.053770,0.092413,0.090932,0.044244,97.24
11/28/1969,-0.032164,-0.036677,-0.055078,-0.057484,-0.035274,93.81
12/31/1969,-0.019680,-0.021471,-0.066178,-0.068361,-0.018655,92.06
01/30/1970,-0.073254,-0.074519,-0.038830,-0.040011,-0.076472,85.02
02/27/1970,0.056706,0.051651,0.040195,0.037433,0.052693,89.50
03/31/1970,-0.004729,-0.006569,-0.023712,-0.025789,0.001453,89.63
04/30/1970,-0.105318,-0.106393,-0.161962,-0.163189,-0.090483,81.52
